userType,age,gender,educationLevel,occupation,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,rentPayment,utility1Payment,utility2Payment,gpa,collegeScore,cosignerIncome,scholarship,creditScore
student,20,female,bachelors,student,4905.13,0.0,0.0,0.0,0.0,4763.72,na,late,on-time,5.98,82,0.0,0,63
working,31,other,bachelors,teacher,37650.52,15650.94,93096.38,67358.15,15529.03,64740.41,on-time,on-time,on-time,,,,,74
student,18,female,masters,student,0.0,2777.22,0.0,0.0,657.43,0.0,na,na,late,6.06,68,0.0,0,51
student,26,male,bachelors,student,646.03,0.0,317.24,0.0,0.0,3154.86,late,na,na,5.05,70,0.0,0,57
working,47,female,masters,manager,112299.82,54430.83,46827.0,72664.23,28172.85,85545.3,on-time,on-time,on-time,,,,,84
working,35,female,phd,clerk,59153.06,66077.29,88225.1,11009.95,67867.17,77009.67,on-time,na,on-time,,,,,88
student,25,other,other,student,0.0,0.0,2151.76,0.0,0.0,0.0,late,on-time,late,9.41,75,0.0,0,77
student,20,female,bachelors,student,0.0,330.95,0.0,0.0,2367.97,0.0,on-time,late,on-time,6.3,68,56191.01,0,75
student,26,female,bachelors,student,2379.24,0.0,0.0,0.0,0.0,0.0,late,na,on-time,9.19,90,55789.66,0,69
working,27,female,masters,technician,24739.87,75364.34,37733.04,51495.9,55913.04,42970.76,on-time,late,na,,,,,67
working,51,male,masters,technician,107774.5,62603.59,46366.47,24934.14,96789.75,98579.44,late,on-time,on-time,,,,,62
working,59,female,masters,software engineer,17054.76,97103.12,114624.47,68880.61,109796.18,99223.94,on-time,on-time,on-time,,,,,86
student,20,male,masters,student,0.0,0.0,3026.16,0.0,0.0,474.22,na,na,late,9.76,48,90103.14,1,84
working,39,other,bachelors,sales,88938.14,92854.97,42672.08,40286.91,78911.7,48441.09,on-time,on-time,on-time,,,,,82
student,20,male,masters,student,1467.59,0.0,111.48,0.0,0.0,0.0,late,on-time,na,6.55,67,18369.87,0,62
working,39,female,bachelors,sales,85818.57,63982.13,106592.0,54316.71,94668.6,23938.29,on-time,on-time,on-time,,,,,81
working,57,female,other,teacher,101734.26,74501.44,92774.67,14759.87,14183.47,82503.29,late,on-time,on-time,,,,,58
working,24,male,bachelors,teacher,81505.68,17503.58,86548.93,97411.76,18182.19,16361.23,on-time,on-time,na,,,,,69
working,23,male,masters,software engineer,35027.21,66116.1,20197.55,27163.05,95490.61,86848.08,on-time,late,on-time,,,,,74
working,41,other,high-school,analyst,65186.18,81829.31,45120.62,114074.22,45225.65,67996.34,late,on-time,on-time,,,,,56
working,40,other,bachelors,teacher,56203.25,79642.76,34503.3,45648.62,106169.13,67508.82,on-time,on-time,on-time,,,,,83
student,19,male,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,on-time,on-time,na,5.68,77,0.0,0,61
student,24,female,bachelors,student,0.0,0.0,0.0,0.0,0.0,3220.42,late,late,late,7.72,56,0.0,0,61
working,32,other,phd,analyst,97595.41,26607.52,119479.66,111207.01,10869.21,32071.36,on-time,on-time,on-time,,,,,90
working,25,female,other,manager,42405.77,68370.48,53580.23,31101.42,73884.44,73353.08,on-time,on-time,on-time,,,,,79
student,27,other,masters,student,0.0,1849.77,0.0,0.0,2089.61,2526.07,on-time,na,na,7.73,41,0.0,0,69
student,19,male,bachelors,student,0.0,0.0,0.0,0.0,2783.34,4775.94,na,on-time,late,5.6,81,0.0,0,56
student,20,male,other,student,0.0,4098.95,0.0,0.0,937.44,0.0,on-time,on-time,late,6.44,81,93188.94,0,70
student,24,other,bachelors,student,0.0,792.97,1468.71,2525.22,2957.75,2763.26,on-time,na,na,5.17,78,0.0,0,61
student,22,other,bachelors,student,3457.89,3170.23,0.0,0.0,0.0,0.0,late,na,late,8.51,52,0.0,0,71
student,28,female,bachelors,student,0.0,0.0,4255.11,0.0,0.0,0.0,late,on-time,on-time,6.61,53,0.0,0,64
working,58,other,bachelors,technician,114136.31,118133.06,81003.13,112563.48,105855.5,33280.71,on-time,on-time,on-time,,,,,83
student,30,other,masters,student,1279.27,1601.02,0.0,0.0,1250.0,0.0,on-time,late,na,8.97,52,0.0,0,71
student,29,male,bachelors,student,0.0,0.0,0.0,0.0,4405.86,0.0,late,on-time,na,5.78,50,0.0,0,55
working,31,male,masters,manager,114332.92,78025.13,94607.53,20622.41,86364.66,29258.46,on-time,on-time,on-time,,,,,85
working,53,male,bachelors,technician,98404.08,105926.19,50119.48,27780.85,58288.71,74092.98,on-time,on-time,on-time,,,,,82
student,17,male,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,na,on-time,na,7.62,55,0.0,0,83
working,48,other,bachelors,software engineer,92087.31,91436.94,78397.08,42787.37,90563.13,82027.43,on-time,on-time,on-time,,,,,88
student,28,other,other,student,0.0,4441.94,4278.28,0.0,0.0,0.0,na,on-time,late,6.17,85,0.0,0,68
working,47,female,masters,software engineer,43502.94,101189.53,113031.56,11641.93,106506.92,58477.91,on-time,on-time,on-time,,,,,85
working,26,female,bachelors,technician,85308.91,95124.54,82893.77,84078.93,21309.87,63566.65,on-time,late,on-time,,,,,67
student,29,other,bachelors,student,3234.56,0.0,3980.62,4240.02,2726.69,2063.54,na,late,late,5.29,40,0.0,0,68
working,40,other,masters,analyst,32623.05,87126.65,110723.1,118709.82,84092.98,68041.06,on-time,on-time,on-time,,,,,92
student,30,female,bachelors,student,0.0,3546.23,0.0,4358.13,4205.36,0.0,na,on-time,late,9.21,56,61039.76,1,81
working,41,other,bachelors,analyst,114306.76,93393.85,59340.78,81656.38,110557.47,32677.11,on-time,on-time,on-time,,,,,70
working,41,female,bachelors,sales,87197.75,76268.96,28681.61,56894.28,97662.6,58432.32,on-time,on-time,late,,,,,73
working,40,female,bachelors,sales,34331.17,112442.81,104392.88,85630.23,67832.32,59446.72,on-time,on-time,on-time,,,,,86
student,20,female,other,student,0.0,4826.21,0.0,0.0,0.0,0.0,na,na,late,5.6,89,0.0,0,62
student,26,other,bachelors,student,0.0,0.0,983.7,0.0,0.0,0.0,on-time,na,late,7.05,75,129081.41,0,61
working,26,male,bachelors,software engineer,20425.23,107142.76,31031.1,64521.22,114553.22,24526.39,on-time,on-time,on-time,,,,,85
working,50,male,bachelors,technician,65672.33,104329.58,113586.33,61190.92,13235.96,108699.0,on-time,on-time,on-time,,,,,78
working,26,male,bachelors,analyst,108114.67,19742.62,110621.82,98737.46,85628.36,61629.01,on-time,on-time,on-time,,,,,82
working,30,male,bachelors,manager,40774.56,106246.35,54421.41,84852.37,27954.46,89751.83,on-time,late,on-time,,,,,63
working,51,male,bachelors,manager,32582.85,99526.15,46399.94,68246.76,67431.36,74222.49,on-time,on-time,on-time,,,,,85
student,27,female,bachelors,student,2874.96,0.0,0.0,0.0,0.0,4887.32,late,na,on-time,5.86,85,0.0,1,77
working,39,female,other,manager,32104.32,60004.2,52033.31,52437.09,35684.17,16760.65,on-time,on-time,na,,,,,68
working,32,male,bachelors,software engineer,79044.82,18723.39,28839.08,43709.48,77163.6,64226.16,on-time,late,na,,,,,58
working,32,other,bachelors,analyst,52566.43,86194.68,114922.14,73887.93,24259.01,27923.67,on-time,on-time,on-time,,,,,88
student,28,female,masters,student,0.0,3036.6,0.0,0.0,0.0,0.0,na,on-time,late,5.53,47,0.0,0,52
student,25,female,bachelors,student,0.0,0.0,0.0,0.0,1172.06,0.0,na,late,on-time,8.51,60,125284.97,0,76
student,20,other,masters,student,0.0,0.0,0.0,0.0,4313.04,1592.85,na,late,na,5.78,79,0.0,0,66
student,30,other,bachelors,student,0.0,1272.11,489.51,0.0,0.0,2487.46,on-time,on-time,na,6.1,63,0.0,1,75
student,22,other,masters,student,3221.34,0.0,4979.86,3262.65,3163.96,0.0,na,late,na,9.2,91,0.0,0,91
working,42,male,bachelors,technician,35041.29,68633.25,117541.32,40585.76,22633.04,29478.66,late,on-time,late,,,,,49
working,50,female,phd,clerk,36257.94,32729.2,72451.85,18597.19,89220.31,91245.54,on-time,on-time,on-time,,,,,86
working,42,female,bachelors,technician,74870.58,25666.7,34238.98,106990.38,17154.63,40810.3,na,late,on-time,,,,,68
working,27,female,bachelors,software engineer,114724.02,40047.28,119052.14,112813.46,82823.45,98048.47,on-time,on-time,on-time,,,,,88
working,34,male,bachelors,clerk,24179.91,11224.14,102982.39,16501.43,47090.5,32277.66,on-time,on-time,on-time,,,,,70
working,43,other,bachelors,sales,15986.54,82786.51,18263.18,83676.67,93353.4,94735.04,on-time,on-time,on-time,,,,,76
student,30,other,other,student,1711.34,4571.97,3436.61,0.0,0.0,4623.21,on-time,on-time,on-time,6.24,92,47413.72,0,65
student,27,male,bachelors,student,0.0,295.57,0.0,0.0,3131.38,0.0,on-time,on-time,on-time,6.44,85,0.0,0,77
working,25,female,bachelors,technician,52906.48,79221.45,81291.06,64038.39,26858.45,77989.91,on-time,on-time,on-time,,,,,76
working,24,other,masters,clerk,47545.18,36880.08,49744.14,52647.17,72693.13,103379.63,on-time,on-time,on-time,,,,,79
working,36,female,bachelors,analyst,43961.62,79860.44,118982.35,45082.78,38389.03,37471.99,on-time,on-time,on-time,,,,,83
student,30,male,bachelors,student,0.0,2690.46,2950.55,0.0,0.0,0.0,na,na,late,8.21,65,0.0,0,74
student,19,female,bachelors,student,0.0,0.0,2770.3,0.0,2008.24,0.0,on-time,na,late,5.68,57,47495.53,0,58
student,27,female,bachelors,student,0.0,0.0,0.0,869.19,3395.65,3888.98,late,on-time,na,9.82,69,0.0,1,84
working,53,male,bachelors,technician,96734.67,56424.32,84475.0,13965.83,19744.97,81517.09,on-time,on-time,late,,,,,60
working,56,male,masters,manager,102391.67,118415.95,43239.85,81713.27,71139.08,25091.29,on-time,on-time,on-time,,,,,89
working,53,female,masters,sales,77883.48,97119.03,46381.64,60133.96,32964.37,50409.89,on-time,on-time,late,,,,,67
working,56,male,masters,manager,110371.75,62332.51,18684.83,47669.08,31816.03,54405.05,on-time,on-time,late,,,,,65
working,58,female,masters,teacher,82045.77,77938.31,13082.58,16372.79,17401.68,88679.13,on-time,na,on-time,,,,,73
student,20,male,high-school,student,0.0,0.0,0.0,2228.32,0.0,0.0,late,late,na,7.2,75,0.0,0,75
student,27,other,bachelors,student,3208.93,0.0,0.0,3885.37,0.0,443.57,on-time,na,na,7.99,85,0.0,0,77
working,46,female,masters,clerk,109326.85,75576.14,84723.7,22182.43,21613.3,20946.48,late,on-time,on-time,,,,,59
student,25,other,bachelors,student,0.0,0.0,1261.63,34.36,0.0,0.0,na,na,na,9.67,41,0.0,0,71
student,24,other,bachelors,student,0.0,0.0,0.0,0.0,0.0,316.17,on-time,late,on-time,8.99,48,24562.42,0,80
student,19,female,bachelors,student,2459.6,1357.85,0.0,0.0,4521.33,0.0,na,na,on-time,9.3,76,95123.24,0,84
working,41,male,phd,software engineer,106167.79,95995.42,73014.85,42518.52,74536.28,103381.85,on-time,late,on-time,,,,,65
student,26,female,bachelors,student,1968.24,1152.58,0.0,2579.64,0.0,0.0,on-time,on-time,late,6.68,77,0.0,0,60
working,24,other,masters,analyst,30954.36,65032.0,35322.35,26294.37,36423.06,52751.35,on-time,late,na,,,,,63
student,23,male,other,student,0.0,792.01,0.0,496.15,365.42,0.0,on-time,late,on-time,7.29,87,0.0,0,63
working,50,male,bachelors,software engineer,16612.49,10008.83,71057.72,115066.29,61967.31,35206.26,on-time,on-time,on-time,,,,,78
working,52,male,bachelors,teacher,70729.34,106144.42,27337.27,59815.26,117137.1,91317.48,on-time,late,on-time,,,,,61
working,31,male,masters,software engineer,18943.03,16585.08,10571.19,117591.93,56517.58,45959.39,late,na,on-time,,,,,54
student,27,male,bachelors,student,0.0,0.0,4059.2,4979.8,0.0,2986.8,on-time,na,on-time,6.82,45,0.0,0,60
working,41,other,bachelors,software engineer,48775.06,49102.53,77895.93,53559.42,89038.06,73673.37,on-time,on-time,on-time,,,,,81
student,25,other,other,student,2370.12,0.0,0.0,0.0,3960.26,0.0,on-time,on-time,late,7.42,64,0.0,0,64
student,27,other,bachelors,student,2939.61,4359.53,0.0,0.0,0.0,472.16,on-time,on-time,on-time,7.29,68,0.0,0,69
student,21,female,bachelors,student,0.0,0.0,587.33,0.0,0.0,3898.35,late,na,late,9.61,78,63849.85,0,79
student,22,other,bachelors,student,3789.66,0.0,0.0,4144.55,0.0,0.0,late,late,on-time,5.72,90,133755.99,0,80
student,25,other,other,student,0.0,132.94,4100.77,0.0,0.0,3203.09,na,na,on-time,7.32,84,0.0,0,66
working,29,female,bachelors,teacher,72753.5,27577.26,31482.41,48783.4,112314.34,21713.44,on-time,on-time,on-time,,,,,75
student,23,female,other,student,2645.72,1568.58,0.0,43.68,3115.83,2779.13,on-time,na,late,9.72,59,0.0,0,70
working,47,other,masters,sales,79236.78,45242.81,25988.5,99247.58,37916.17,32359.82,on-time,late,on-time,,,,,66
working,41,other,masters,analyst,98856.64,111892.77,49495.05,44693.4,28450.75,74608.48,on-time,on-time,on-time,,,,,83
working,38,male,bachelors,clerk,102147.34,44457.17,26687.2,62893.02,56330.61,38075.9,on-time,on-time,on-time,,,,,77
working,57,other,bachelors,clerk,95776.18,89227.83,102792.65,16743.01,77525.78,86394.98,on-time,on-time,on-time,,,,,78
working,48,female,bachelors,manager,42331.27,31270.43,37969.85,64449.2,77560.8,17259.81,na,late,on-time,,,,,57
student,25,female,bachelors,student,1338.97,0.0,0.0,0.0,0.0,0.0,on-time,late,on-time,5.45,44,0.0,0,49
working,43,other,bachelors,sales,41407.8,80395.45,119226.86,90437.48,11660.58,41543.31,on-time,on-time,on-time,,,,,76
working,23,male,bachelors,manager,90962.84,116939.58,99055.32,21863.01,100978.36,112687.55,on-time,on-time,on-time,,,,,80
working,57,other,masters,sales,85358.73,89722.9,74301.65,110712.29,74566.82,82926.51,on-time,on-time,on-time,,,,,93
student,28,other,high-school,student,0.0,0.0,0.0,0.0,42.78,0.0,na,na,on-time,7.65,72,0.0,0,67
working,54,male,bachelors,teacher,60003.32,115062.11,115282.97,57259.72,54814.54,13354.7,on-time,on-time,on-time,,,,,81
working,44,female,bachelors,software engineer,59201.26,104314.55,51903.53,95941.05,27519.6,89703.79,on-time,on-time,on-time,,,,,81
student,17,other,bachelors,student,1074.45,3913.4,0.0,0.0,0.0,0.0,na,on-time,late,7.96,87,0.0,0,72
working,26,female,high-school,manager,30958.58,24080.26,15565.99,84740.5,13305.1,27999.43,on-time,na,na,,,,,66
student,29,other,bachelors,student,0.0,0.0,2026.11,0.0,0.0,0.0,late,on-time,on-time,8.64,55,87473.96,1,81
student,28,male,bachelors,student,0.0,0.0,0.0,0.0,3272.22,0.0,on-time,late,on-time,5.51,58,0.0,0,51
student,28,male,other,student,2018.05,0.0,0.0,4065.51,0.0,0.0,na,late,on-time,5.54,55,62880.66,0,56
student,26,female,bachelors,student,0.0,0.0,0.0,0.0,3174.39,940.8,na,late,late,6.79,89,99759.99,1,87
working,37,male,bachelors,analyst,119765.42,92878.88,104528.87,71734.83,54180.76,85879.79,on-time,on-time,on-time,,,,,95
student,19,male,bachelors,student,3596.62,0.0,280.02,2422.84,0.0,0.0,na,na,late,8.07,41,0.0,0,79
working,36,female,bachelors,teacher,86698.88,40990.75,33903.57,112416.6,45886.47,25868.41,na,na,on-time,,,,,68
student,22,other,high-school,student,0.0,0.0,0.0,448.06,0.0,4161.71,on-time,na,late,7.82,40,0.0,0,62
working,48,male,bachelors,manager,96134.68,10728.4,103022.05,54435.57,75092.55,51191.83,on-time,on-time,on-time,,,,,82
student,27,other,bachelors,student,1812.15,1607.02,0.0,0.0,0.0,963.34,late,on-time,na,5.08,68,0.0,0,68
student,24,other,other,student,0.0,3286.61,0.0,1480.42,0.0,0.0,on-time,on-time,on-time,8.1,87,0.0,0,74
student,29,other,bachelors,student,0.0,3488.22,582.83,4364.41,307.65,0.0,on-time,na,on-time,7.61,52,0.0,0,73
student,19,male,other,student,0.0,1784.99,1017.29,0.0,0.0,2874.03,late,na,na,6.37,47,0.0,0,61
student,28,other,bachelors,student,940.61,2633.77,0.0,669.2,0.0,0.0,late,on-time,on-time,9.09,55,1127.36,0,74
working,33,male,bachelors,technician,101782.81,90095.17,104263.08,117685.34,68216.32,16117.28,on-time,on-time,on-time,,,,,81
working,54,female,phd,software engineer,103846.7,49667.14,65209.83,116799.14,30727.43,73874.56,on-time,on-time,on-time,,,,,86
student,21,female,bachelors,student,0.0,3798.22,0.0,2440.89,0.0,0.0,na,late,na,5.83,74,0.0,0,61
student,25,male,bachelors,student,1109.66,0.0,0.0,3992.72,0.0,781.34,na,na,na,9.92,50,0.0,1,79
working,29,other,masters,sales,63535.21,81662.0,83074.6,19221.69,36813.87,100523.62,on-time,on-time,on-time,,,,,82
student,28,other,masters,student,4430.22,1350.68,2358.17,629.35,2242.15,0.0,on-time,na,na,6.96,70,0.0,0,69
student,28,other,other,student,3236.44,0.0,0.0,1412.34,523.43,2308.77,late,na,late,5.93,84,0.0,0,50
working,25,female,phd,analyst,104510.94,34375.98,61524.89,18489.68,63221.11,72908.25,on-time,on-time,on-time,,,,,88
working,60,female,other,teacher,103263.35,113822.42,57792.32,93851.04,96701.1,90874.93,on-time,on-time,on-time,,,,,80
student,28,female,high-school,student,0.0,0.0,0.0,0.0,0.0,231.08,on-time,na,on-time,8.26,55,113919.1,0,68
student,21,female,bachelors,student,0.0,0.0,0.0,0.0,109.02,834.0,on-time,na,late,7.92,46,0.0,0,63
working,28,female,bachelors,analyst,40391.35,48481.2,101515.32,54505.7,105429.02,87936.17,on-time,on-time,on-time,,,,,87
student,21,male,other,student,0.0,0.0,0.0,0.0,0.0,0.0,late,on-time,late,8.83,80,0.0,0,75
working,31,other,masters,sales,55044.87,76992.52,22350.65,30343.96,113761.35,10692.38,na,on-time,on-time,,,,,70
student,30,female,bachelors,student,0.0,3676.15,0.0,715.46,0.0,0.0,late,na,late,5.49,95,0.0,0,68
working,60,other,bachelors,software engineer,102743.7,45363.4,45778.66,85717.2,114999.0,101236.9,on-time,on-time,on-time,,,,,81
working,36,other,bachelors,manager,25207.59,88247.84,54049.69,68119.02,51300.98,71632.31,on-time,on-time,on-time,,,,,85
working,36,female,bachelors,software engineer,11890.57,89920.7,97647.99,56994.05,75507.2,97585.75,on-time,on-time,on-time,,,,,91
student,24,male,bachelors,student,0.0,0.0,1114.5,0.0,4509.78,0.0,on-time,late,na,7.42,83,0.0,0,69
student,24,female,bachelors,student,0.0,4128.67,0.0,0.0,2283.96,0.0,on-time,late,on-time,5.25,94,21457.39,1,80
student,20,other,bachelors,student,0.0,149.7,0.0,3377.1,0.0,0.0,na,late,na,9.1,84,0.0,0,84
student,21,other,bachelors,student,3724.28,0.0,1372.21,3254.12,0.0,0.0,on-time,na,on-time,9.58,68,0.0,0,78
working,47,male,masters,technician,39397.93,26309.27,31897.31,82145.38,27323.9,51130.39,on-time,na,na,,,,,78
student,26,male,bachelors,student,2762.94,3774.58,2462.43,0.0,1951.84,0.0,late,na,late,5.3,76,98757.35,0,58
student,26,other,other,student,3886.37,0.0,0.0,0.0,0.0,880.02,on-time,late,na,8.74,47,0.0,0,63
working,29,male,bachelors,analyst,49535.38,114896.46,50986.04,47108.72,23988.97,13010.56,na,late,na,,,,,51
working,25,female,masters,teacher,108655.12,43547.84,71942.48,103316.01,88526.61,114732.1,on-time,on-time,on-time,,,,,87
working,46,other,phd,manager,89107.01,75398.25,47472.59,57042.64,99217.48,75947.93,on-time,on-time,late,,,,,72
working,55,female,bachelors,software engineer,105775.12,43721.57,40683.96,26909.64,38731.29,87811.87,on-time,on-time,on-time,,,,,73
student,27,other,bachelors,student,0.0,4208.85,3362.44,4358.21,617.2,0.0,on-time,na,late,6.69,45,0.0,0,62
working,55,other,bachelors,technician,41796.02,98361.41,74483.05,38049.48,64081.0,58784.29,on-time,on-time,late,,,,,73
working,53,other,bachelors,manager,72601.72,83428.09,102593.74,41145.78,111835.62,27404.72,on-time,on-time,on-time,,,,,78
student,25,female,bachelors,student,0.0,0.0,0.0,2949.72,2582.92,0.0,late,on-time,late,5.44,59,54828.71,0,61
student,27,female,masters,student,0.0,4647.99,0.0,0.0,2589.55,0.0,on-time,on-time,on-time,7.21,84,0.0,0,86
student,28,other,bachelors,student,3.04,1914.72,2215.2,0.0,0.0,0.0,on-time,na,late,6.87,63,3458.71,1,64
working,40,female,bachelors,teacher,79772.63,112340.31,93387.2,91748.23,119289.49,67694.88,late,on-time,on-time,,,,,66
working,33,male,bachelors,teacher,67794.48,113509.17,12168.79,75569.6,41508.56,113547.91,on-time,on-time,on-time,,,,,83
student,24,other,bachelors,student,3178.72,4046.51,0.0,0.0,0.0,0.0,on-time,late,late,5.82,80,138609.55,1,74
student,28,male,bachelors,student,1102.03,986.26,0.0,0.0,3147.6,0.0,na,na,on-time,7.37,73,139986.93,0,83
student,29,female,bachelors,student,0.0,0.0,0.0,3350.27,0.0,0.0,late,on-time,na,9.35,72,101466.98,0,91
student,19,male,bachelors,student,1591.21,3079.69,815.72,0.0,349.29,0.0,na,na,late,8.3,42,0.0,0,63
working,45,female,masters,manager,21207.43,65953.55,46570.84,109342.06,44768.11,103902.92,on-time,on-time,late,,,,,73
working,48,other,masters,analyst,108380.15,96024.43,57428.25,71381.49,101756.11,93727.92,on-time,on-time,on-time,,,,,86
student,26,female,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,na,na,na,9.62,63,0.0,0,86
student,25,male,bachelors,student,1649.73,420.92,0.0,0.0,0.0,0.0,late,na,on-time,7.49,47,0.0,0,62
student,18,female,bachelors,student,0.0,3577.52,0.0,0.0,0.0,3140.83,on-time,late,on-time,7.14,70,0.0,0,68
student,20,male,high-school,student,0.0,660.44,0.0,0.0,0.0,0.0,na,on-time,late,6.59,42,0.0,0,60
working,48,other,bachelors,analyst,28800.88,63765.56,100493.39,74083.27,72502.84,61968.14,on-time,on-time,on-time,,,,,73
student,19,male,bachelors,student,0.0,4886.93,4758.09,0.0,0.0,0.0,na,na,na,5.51,93,0.0,0,60
working,46,male,high-school,technician,31672.69,14389.6,66774.9,57955.21,55428.12,114369.0,on-time,on-time,on-time,,,,,67
student,28,female,bachelors,student,0.0,3228.43,0.0,0.0,0.0,0.0,on-time,na,na,8.81,71,0.0,0,78
student,17,male,bachelors,student,0.0,3003.4,0.0,0.0,3959.69,195.65,on-time,na,on-time,6.5,56,88492.61,0,58
working,37,female,bachelors,teacher,82608.43,61106.12,102589.2,82281.96,42943.51,77434.91,late,late,on-time,,,,,51
working,60,male,high-school,clerk,82151.62,10590.49,42104.55,73656.9,44786.98,12213.28,on-time,na,on-time,,,,,67
working,29,other,bachelors,manager,110270.93,97859.32,57292.66,64658.58,54913.27,35972.55,on-time,on-time,on-time,,,,,86
working,29,other,bachelors,analyst,40629.74,58939.4,118038.73,68957.18,62154.65,83595.83,on-time,on-time,on-time,,,,,88
working,28,other,bachelors,clerk,109361.83,69484.83,76622.35,32759.48,75312.94,27509.71,on-time,on-time,on-time,,,,,74
working,59,male,masters,clerk,51871.72,71934.45,18616.88,74884.07,27400.01,115181.9,on-time,on-time,na,,,,,76
working,45,female,bachelors,software engineer,14528.3,100931.44,107834.22,54027.29,19968.43,89805.22,on-time,on-time,late,,,,,63
working,33,female,masters,manager,54577.33,72085.85,68610.15,97863.65,15543.31,94380.68,on-time,on-time,on-time,,,,,88
working,25,male,phd,teacher,64169.7,23406.84,49454.85,106660.06,101034.26,27566.16,on-time,on-time,on-time,,,,,88
student,19,male,high-school,student,0.0,0.0,0.0,0.0,0.0,0.0,on-time,on-time,late,8.84,91,1011.6,0,79
student,19,female,other,student,0.0,0.0,0.0,0.0,1430.6,0.0,late,on-time,na,7.47,85,0.0,0,63
student,25,other,bachelors,student,1462.66,0.0,3074.08,1241.94,2422.28,3176.29,on-time,on-time,na,6.06,66,0.0,0,60
working,41,male,bachelors,technician,68228.33,106920.73,25054.51,73422.66,63729.54,16083.65,on-time,on-time,na,,,,,76
working,22,female,masters,software engineer,46680.64,74605.43,30408.4,56663.87,12250.33,62209.47,on-time,late,on-time,,,,,68
working,32,male,bachelors,sales,75522.18,16839.57,36137.79,110165.57,10404.66,116280.47,na,on-time,late,,,,,50
student,17,male,bachelors,student,0.0,0.0,953.21,2581.92,0.0,0.0,on-time,on-time,on-time,7.46,68,0.0,1,83
working,37,other,bachelors,clerk,53275.78,39360.96,88635.04,40497.79,37768.73,40768.75,on-time,on-time,na,,,,,72
working,29,male,bachelors,manager,28386.37,63742.75,48051.26,19679.16,110246.81,25481.66,on-time,on-time,na,,,,,63
student,17,other,bachelors,student,2405.54,1590.18,66.87,1510.4,3234.72,0.0,na,on-time,on-time,5.03,87,23699.17,0,63
student,23,female,bachelors,student,11.25,0.0,0.0,1414.05,0.0,0.0,late,on-time,na,6.21,77,0.0,1,70
student,17,female,high-school,student,0.0,2321.58,0.0,0.0,3548.5,0.0,on-time,on-time,on-time,9.18,44,0.0,0,67
student,23,other,other,student,0.0,0.0,2374.62,0.0,0.0,4661.28,on-time,late,late,8.38,50,0.0,0,64
student,20,other,bachelors,student,4154.44,3455.97,4721.58,1206.23,0.0,0.0,late,na,on-time,9.67,47,0.0,0,77
student,26,other,bachelors,student,2406.14,0.0,3337.31,1445.25,2444.94,0.0,late,late,late,6.77,50,0.0,0,64
student,23,female,bachelors,student,0.0,0.0,3211.96,0.0,3633.42,0.0,na,na,on-time,6.23,84,0.0,0,68
student,25,male,bachelors,student,3361.66,912.45,3308.98,0.0,1825.5,0.0,late,on-time,late,8.4,71,0.0,0,84
student,27,other,high-school,student,120.29,0.0,0.0,1736.33,696.76,0.0,na,on-time,on-time,5.43,92,104116.92,0,62
student,23,male,other,student,3971.2,0.0,0.0,3073.04,1133.0,3322.16,late,on-time,na,8.9,82,45571.86,0,73
